Formula SMILES Hf_298K_G4 Acyclic Alicyclic Conjugated Heterocyclic Hydrocarbon N-containing O-containing S-containing Cl-containing Sparse_Fragment_Containing
C4H10 CCCC -29.67332132 1 0 0 0 1 0 0 0 0 0
C4H10N2 C1CNCCN1 7.471742547 0 0 0 1 0 1 0 0 0 0
C4H10N2O CC(C)NC(N)=O -68.18110124 1 0 0 0 0 1 1 0 0 0
C4H10O CCC(C)O -69.58576251 1 0 0 0 0 0 1 0 0 0
C4H10O CC(C)CO -67.43591667 1 0 0 0 0 0 1 0 0 0
C4H10O CCCCO -65.30301358 1 0 0 0 0 0 1 0 0 0
C4H10O COC(C)C -60.12292679 1 0 0 0 0 0 1 0 0 0
C4H10O CCCOC -57.03307247 1 0 0 0 0 0 1 0 0 0
C4H10O2 CC(O)CCO -107.1218271 1 0 0 0 0 0 1 0 0 0
C4H10O2 OCCCCO -101.0550701 1 0 0 0 0 0 1 0 0 0
C4H10O2 COCCOC -82.780753 1 0 0 0 0 0 1 0 0 0
C4H10O2 CC(C)(C)OO -56.59856748 1 0 0 0 0 0 1 0 0 0
C4H10O2 CCOOCC -45.54813399 1 0 0 0 0 0 1 0 0 0
C4H10O3 COC(OC)OC -128.1638176 1 0 0 0 0 0 1 0 0 1
C4H10S CC(C)CS -22.70968162 1 0 0 0 0 0 0 1 0 0
C4H10S CCC(C)S -22.5760222 1 0 0 0 0 0 0 1 0 0
C4H10S CSC(C)C -21.29339381 1 0 0 0 0 0 0 1 0 0
C4H10S CCSCC -19.30293526 1 0 0 0 0 0 0 1 0 0
C4H10S2 CSSC(C)C -18.69972678 1 0 0 0 0 0 0 1 0 0
C4H10S2 CCSSCC -16.23047886 1 0 0 0 0 0 0 1 0 0
C4H10S2 SCCCCS -11.04725452 1 0 0 0 0 0 0 1 0 0
C4H11N CCC(C)N -23.90545784 1 0 0 0 0 1 0 0 0 0
C4H11N CCNCC -17.3341836 1 0 0 0 0 1 0 0 0 0
C4H11N CC(C)CN -23.1147965 1 0 0 0 0 1 0 0 0 0
